checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,residence_since,property_magnitude,age,housing,existing_credits,job,num_dependents,foreign_worker,class
No Checking,18,existing paid,radio/tv,4594,Low,Amateur,3,male single,2,car,32,own,1,skilled,1,yes,1
Low,36,existing paid,furniture/equipment,3620,Low,Professional,1,male single,2,life insurance,37,own,1,skilled,2,yes,1
Low,15,existing paid,new car,1721,Low,Amateur,2,male single,3,real estate,36,own,1,skilled,1,yes,1
Medium,12,existing paid,furniture/equipment,3017,Low,Amateur,3,female div/dep/mar,1,real estate,34,rent,1,high qualif/self emp/mgmt,1,yes,1
Medium,12,existing paid,retraining,754,No Savings,Expert,4,male single,4,life insurance,38,own,2,skilled,1,yes,1
No Checking,18,existing paid,business,1950,Low,Experienced,4,male single,1,car,34,own,2,skilled,1,yes,1
Low,24,existing paid,used car,2924,Low,Professional,3,male single,4,no known property,63,own,1,skilled,2,yes,1
Low,24,delayed previously,radio/tv,1659,Low,Amateur,4,female div/dep/mar,2,car,29,rent,1,unskilled resident,1,yes,0
No Checking,48,delayed previously,radio/tv,7238,No Savings,Expert,3,male single,3,car,32,own,2,skilled,2,yes,1
No Checking,33,delayed previously,business,2764,Low,Professional,2,female div/dep/mar,2,car,26,own,2,skilled,1,yes,1
No Checking,24,delayed previously,used car,4679,Low,Experienced,3,male single,3,car,35,own,2,unskilled resident,1,yes,1
Medium,24,existing paid,radio/tv,3092,Medium,Amateur,3,male mar/wid,2,car,22,rent,1,skilled,1,yes,0
Low,6,existing paid,education,448,Low,Amateur,4,female div/dep/mar,4,life insurance,23,own,1,skilled,1,yes,0
Low,9,existing paid,new car,654,Low,Professional,4,male single,3,car,28,own,1,unskilled resident,1,yes,0
No Checking,6,existing paid,retraining,1238,No Savings,Unemployed,4,male single,4,life insurance,36,own,1,high qualif/self emp/mgmt,2,yes,1
Medium,18,critical/other existing credit,radio/tv,1245,Low,Professional,4,male mar/wid,2,car,33,own,1,skilled,1,yes,0
Low,18,no credits/all paid,furniture/equipment,3114,Low,Amateur,1,female div/dep/mar,4,life insurance,26,rent,1,skilled,1,yes,0
No Checking,39,existing paid,used car,2569,High,Professional,4,male single,4,car,24,own,1,skilled,1,yes,1
High,24,existing paid,radio/tv,5152,Low,Experienced,4,male single,2,car,25,own,1,skilled,1,yes,1
Medium,12,existing paid,business,1037,Medium,Experienced,3,male single,4,real estate,39,own,1,unskilled resident,1,yes,1
Low,15,critical/other existing credit,furniture/equipment,1478,Low,Expert,4,male single,4,car,44,own,2,skilled,2,yes,1
Medium,12,critical/other existing credit,radio/tv,3573,Low,Professional,1,female div/dep/mar,1,real estate,23,own,1,unskilled resident,1,yes,1
Medium,24,existing paid,new car,1201,Low,Amateur,4,male single,1,life insurance,26,own,1,skilled,1,yes,1
Low,30,existing paid,furniture/equipment,3622,High,Expert,4,female div/dep/mar,4,life insurance,57,rent,2,skilled,1,yes,1
No Checking,15,delayed previously,furniture/equipment,960,High,Experienced,3,female div/dep/mar,2,life insurance,30,own,2,skilled,1,yes,1
No Checking,12,critical/other existing credit,new car,1163,High,Professional,4,male single,4,real estate,44,own,1,skilled,1,yes,1
Medium,6,delayed previously,new car,1209,Low,Unemployed,4,male single,4,life insurance,47,own,1,high qualif/self emp/mgmt,1,yes,0
No Checking,12,existing paid,radio/tv,3077,Low,Professional,2,male single,4,car,52,own,1,skilled,1,yes,1
No Checking,24,existing paid,new car,3757,Low,Expert,4,female div/dep/mar,4,no known property,62,for free,1,skilled,1,yes,1
No Checking,10,existing paid,new car,1418,Medium,Professional,3,male single,2,real estate,35,rent,1,unskilled resident,1,no,1
No Checking,6,existing paid,new car,3518,Low,Professional,2,male single,3,life insurance,26,rent,1,skilled,1,yes,1
No Checking,12,critical/other existing credit,radio/tv,1934,Low,Expert,2,male single,2,no known property,26,own,2,skilled,1,yes,1
Medium,27,no credits/all paid,business,8318,Low,Expert,2,female div/dep/mar,4,no known property,42,for free,2,high qualif/self emp/mgmt,1,yes,0
No Checking,6,critical/other existing credit,radio/tv,1237,Medium,Professional,1,female div/dep/mar,1,life insurance,27,own,2,skilled,1,yes,1
Medium,6,existing paid,radio/tv,368,No Savings,Expert,4,male single,4,life insurance,38,own,1,skilled,1,yes,1
Low,12,critical/other existing credit,new car,2122,Low,Professional,3,male single,2,real estate,39,rent,2,unskilled resident,2,no,1
Low,24,existing paid,furniture/equipment,2996,No Savings,Professional,2,male mar/wid,4,car,20,own,1,skilled,1,yes,0
Medium,36,existing paid,furniture/equipment,9034,Medium,Amateur,4,male single,1,no known property,29,rent,1,high qualif/self emp/mgmt,1,yes,0
No Checking,24,critical/other existing credit,furniture/equipment,1585,Low,Experienced,4,male single,3,life insurance,40,own,2,skilled,1,yes,1
Medium,18,existing paid,radio/tv,1301,Low,Expert,4,male mar/wid,2,real estate,32,own,1,unskilled resident,1,yes,1
High,6,critical/other existing credit,new car,1323,Medium,Expert,2,male div/sep,4,car,28,own,2,skilled,2,yes,1
Low,24,existing paid,new car,3123,Low,Amateur,4,female div/dep/mar,1,life insurance,27,own,1,skilled,1,yes,0
Low,36,existing paid,used car,5493,Low,Expert,2,male single,4,no known property,42,for free,1,skilled,2,yes,1
High,9,existing paid,radio/tv,1126,Medium,Expert,2,male div/sep,4,real estate,49,own,1,skilled,1,yes,1
Medium,24,critical/other existing credit,radio/tv,1216,Medium,Amateur,4,male single,4,no known property,38,own,2,skilled,2,yes,0
Low,24,existing paid,new car,1207,Low,Amateur,4,female div/dep/mar,4,life insurance,24,rent,1,skilled,1,yes,0
No Checking,10,existing paid,new car,1309,No Savings,Professional,4,male single,4,life insurance,27,own,1,unskilled resident,1,yes,0
High,15,critical/other existing credit,used car,2360,High,Professional,2,male single,2,car,36,own,1,skilled,1,yes,1
Medium,15,all paid,new car,6850,Medium,Unemployed,1,male single,2,life insurance,34,own,1,high qualif/self emp/mgmt,2,yes,0
No Checking,24,existing paid,radio/tv,1413,Low,Professional,4,male mar/wid,2,life insurance,28,own,1,skilled,1,yes,1
No Checking,39,existing paid,used car,8588,Medium,Expert,4,male single,2,car,45,own,1,high qualif/self emp/mgmt,1,yes,1
Low,12,existing paid,new car,759,Low,Experienced,4,male single,2,real estate,26,own,1,skilled,1,yes,0
No Checking,36,existing paid,used car,4686,Low,Professional,2,male single,2,no known property,32,for free,1,high qualif/self emp/mgmt,1,yes,1
High,15,existing paid,business,2687,Low,Experienced,2,male single,4,life insurance,26,rent,1,skilled,1,yes,1
Medium,12,delayed previously,radio/tv,585,Low,Professional,4,male mar/wid,4,real estate,20,rent,2,skilled,1,yes,1
No Checking,24,existing paid,new car,2255,No Savings,Amateur,4,male single,1,life insurance,54,own,1,skilled,1,yes,1
Low,6,critical/other existing credit,new car,609,Low,Experienced,4,female div/dep/mar,3,life insurance,37,own,2,skilled,1,no,1
Low,6,critical/other existing credit,new car,1361,Low,Amateur,2,male single,4,real estate,40,own,1,unskilled resident,2,no,1
No Checking,36,critical/other existing credit,furniture/equipment,7127,Low,Amateur,2,female div/dep/mar,4,life insurance,23,rent,2,skilled,1,yes,0
Low,6,existing paid,new car,1203,Medium,Expert,3,male single,2,life insurance,43,own,1,skilled,1,yes,1
No Checking,6,critical/other existing credit,radio/tv,700,No Savings,Expert,4,male single,4,no known property,36,for free,2,skilled,1,yes,1
No Checking,24,critical/other existing credit,repairs,5507,Low,Expert,3,male single,4,no known property,44,for free,2,skilled,1,yes,1
Low,18,existing paid,radio/tv,3190,Low,Professional,2,female div/dep/mar,2,real estate,24,own,1,skilled,1,yes,0
Low,48,no credits/all paid,furniture/equipment,7119,Low,Professional,3,male single,4,no known property,53,for free,2,skilled,2,yes,0
No Checking,24,existing paid,used car,3488,Medium,Experienced,3,female div/dep/mar,4,car,23,own,1,skilled,1,yes,1
Medium,18,existing paid,radio/tv,1113,Low,Professional,4,female div/dep/mar,4,real estate,26,own,1,unskilled resident,2,yes,1
Medium,26,existing paid,used car,7966,Low,Amateur,2,male single,3,car,30,own,2,skilled,1,yes,1
No Checking,15,critical/other existing credit,education,1532,Medium,Professional,4,female div/dep/mar,3,car,31,own,1,skilled,1,yes,1
No Checking,4,critical/other existing credit,radio/tv,1503,Low,Experienced,2,male single,1,real estate,42,own,2,unskilled resident,2,yes,1
Low,36,existing paid,radio/tv,2302,Low,Professional,4,male div/sep,4,car,31,rent,1,skilled,1,yes,0
Low,6,existing paid,new car,662,Low,Amateur,3,male single,4,real estate,41,own,1,unskilled resident,2,yes,1
Medium,36,existing paid,education,2273,Low,Experienced,3,male single,1,car,32,own,2,skilled,2,yes,1
Medium,15,existing paid,new car,2631,Medium,Professional,2,female div/dep/mar,4,car,28,rent,2,skilled,1,yes,0
No Checking,12,delayed previously,used car,1503,Low,Professional,4,male mar/wid,4,real estate,41,rent,1,skilled,1,yes,1
No Checking,24,existing paid,radio/tv,1311,Medium,Experienced,4,male mar/wid,3,life insurance,26,own,1,skilled,1,yes,1
No Checking,24,existing paid,radio/tv,3105,No Savings,Amateur,4,male single,2,car,25,own,2,skilled,1,yes,1
High,21,critical/other existing credit,education,2319,Low,Amateur,2,male div/sep,1,car,33,rent,1,skilled,1,yes,0
Low,6,existing paid,new car,1374,No Savings,Unemployed,4,female div/dep/mar,3,life insurance,75,own,1,high qualif/self emp/mgmt,1,yes,1
Medium,18,critical/other existing credit,furniture/equipment,3612,Low,Expert,3,female div/dep/mar,4,life insurance,37,own,1,skilled,1,yes,1
Low,48,existing paid,new car,7763,Low,Expert,4,male single,4,no known property,42,for free,1,high qualif/self emp/mgmt,1,yes,0
High,18,existing paid,furniture/equipment,3049,Low,Amateur,1,female div/dep/mar,1,life insurance,45,own,1,unskilled resident,1,yes,1
Medium,12,existing paid,radio/tv,1534,Low,Amateur,1,male mar/wid,1,real estate,23,rent,1,skilled,1,yes,0
No Checking,24,delayed previously,new car,2032,Low,Expert,4,male single,4,no known property,60,for free,2,skilled,1,yes,1
Low,30,existing paid,furniture/equipment,6350,No Savings,Expert,4,male single,4,life insurance,31,own,1,skilled,1,yes,0
High,18,existing paid,furniture/equipment,2864,Low,Professional,2,male single,1,real estate,34,own,1,unskilled resident,2,yes,0
No Checking,12,critical/other existing credit,new car,1255,Low,Expert,4,male single,4,real estate,61,own,2,unskilled resident,1,yes,1
Low,24,delayed previously,new car,1333,Low,Unemployed,4,male single,2,real estate,43,for free,2,skilled,2,yes,0
No Checking,24,critical/other existing credit,new car,2022,Low,Professional,4,female div/dep/mar,4,car,37,own,1,skilled,1,yes,1
No Checking,24,existing paid,radio/tv,1552,Low,Experienced,3,male single,1,car,32,own,1,skilled,2,yes,1
Low,12,all paid,radio/tv,626,Low,Professional,4,female div/dep/mar,4,real estate,24,own,1,unskilled resident,1,yes,0
No Checking,48,critical/other existing credit,used car,8858,No Savings,Experienced,2,male single,1,no known property,35,for free,2,skilled,1,yes,1
No Checking,12,critical/other existing credit,repairs,996,No Savings,Experienced,4,female div/dep/mar,4,real estate,23,own,2,skilled,1,yes,1
No Checking,6,all paid,radio/tv,1750,High,Expert,2,male single,4,life insurance,45,own,1,unskilled resident,2,yes,1
Low,48,existing paid,radio/tv,6999,Low,Experienced,1,male mar/wid,1,real estate,34,own,2,skilled,1,yes,0
Medium,12,critical/other existing credit,new car,1995,Medium,Amateur,4,male single,1,car,27,own,1,skilled,1,yes,1
Medium,9,existing paid,education,1199,Low,Experienced,4,female div/dep/mar,4,life insurance,67,own,2,high qualif/self emp/mgmt,1,yes,1
Medium,12,existing paid,radio/tv,1331,Low,Amateur,2,male single,1,car,22,own,1,skilled,1,yes,0
Medium,18,no credits/all paid,new car,2278,Medium,Amateur,3,female div/dep/mar,3,car,28,own,2,skilled,1,yes,0
No Checking,21,no credits/all paid,new car,5003,No Savings,Professional,1,female div/dep/mar,4,life insurance,29,own,2,skilled,1,yes,0
Low,24,all paid,furniture/equipment,3552,Low,Experienced,3,male single,4,car,27,own,1,skilled,1,yes,0
Medium,18,critical/other existing credit,furniture/equipment,1928,Low,Amateur,2,male single,2,real estate,31,own,2,unskilled resident,1,yes,0
Low,24,existing paid,used car,2964,No Savings,Expert,4,male single,4,no known property,49,for free,1,skilled,2,yes,1
Low,24,all paid,radio/tv,1546,Low,Experienced,4,male single,4,car,24,rent,1,unskilled resident,1,yes,0
High,6,delayed previously,radio/tv,683,Low,Amateur,2,female div/dep/mar,1,life insurance,29,own,1,skilled,1,yes,1
Medium,36,existing paid,new car,12389,No Savings,Professional,1,male single,4,no known property,37,for free,1,skilled,1,yes,0
Medium,24,delayed previously,business,4712,No Savings,Professional,4,male single,2,life insurance,37,own,2,high qualif/self emp/mgmt,1,yes,1
Medium,24,delayed previously,radio/tv,1553,Medium,Experienced,3,female div/dep/mar,2,life insurance,23,rent,2,skilled,1,yes,1
Low,12,existing paid,new car,1372,Low,Experienced,2,male div/sep,3,car,36,own,1,skilled,1,yes,0
No Checking,24,critical/other existing credit,radio/tv,2578,High,Expert,2,male single,2,car,34,own,1,skilled,1,yes,1
Medium,48,existing paid,radio/tv,3979,No Savings,Experienced,4,male single,1,car,41,own,2,skilled,2,yes,1
Low,48,existing paid,radio/tv,6758,Low,Professional,3,female div/dep/mar,2,car,31,own,1,skilled,1,yes,0
Low,24,existing paid,furniture/equipment,3234,Low,Amateur,4,female div/dep/mar,4,real estate,23,rent,1,unskilled resident,1,yes,0
No Checking,30,critical/other existing credit,radio/tv,5954,Low,Experienced,3,male single,2,car,38,own,1,skilled,1,yes,1
No Checking,24,existing paid,used car,5433,No Savings,Unemployed,2,female div/dep/mar,4,life insurance,26,rent,1,high qualif/self emp/mgmt,1,yes,1
Low,15,existing paid,business,806,Low,Professional,4,female div/dep/mar,4,life insurance,22,own,1,unskilled resident,1,yes,1
Medium,9,existing paid,radio/tv,1082,Low,Expert,4,male single,4,car,27,own,2,unskilled resident,1,yes,1
No Checking,15,critical/other existing credit,furniture/equipment,2788,Low,Experienced,2,female div/dep/mar,3,car,24,own,2,skilled,1,yes,1
Medium,12,existing paid,radio/tv,2930,Low,Experienced,2,female div/dep/mar,1,real estate,27,own,1,skilled,1,yes,1
No Checking,24,critical/other existing credit,education,1927,No Savings,Professional,3,female div/dep/mar,2,car,33,own,2,skilled,1,yes,1
Medium,36,critical/other existing credit,new car,2820,Low,Amateur,4,male div/sep,4,car,27,own,2,skilled,1,yes,0
No Checking,24,existing paid,retraining,937,Low,Amateur,4,male mar/wid,3,car,27,own,2,unskilled resident,1,yes,1
Medium,18,critical/other existing credit,new car,1056,Low,Expert,3,male single,3,real estate,30,own,2,skilled,1,yes,0
Medium,12,critical/other existing credit,new car,3124,Low,Amateur,1,male single,3,real estate,49,own,2,unskilled resident,2,yes,1
No Checking,9,existing paid,furniture/equipment,1388,Low,Professional,4,female div/dep/mar,2,real estate,26,rent,1,skilled,1,yes,1
Medium,36,existing paid,repairs,2384,Low,Amateur,4,male single,1,no known property,33,rent,1,unskilled resident,1,yes,0
No Checking,12,existing paid,new car,2133,No Savings,Expert,4,female div/dep/mar,4,no known property,52,for free,1,high qualif/self emp/mgmt,1,yes,1
Low,18,existing paid,furniture/equipment,2039,Low,Professional,1,female div/dep/mar,4,real estate,20,rent,1,skilled,1,yes,0
Low,9,critical/other existing credit,new car,2799,Low,Professional,2,male single,2,real estate,36,rent,2,skilled,2,yes,1
Low,12,existing paid,furniture/equipment,1289,Low,Professional,4,male single,1,life insurance,21,own,1,unskilled resident,1,yes,1
Low,18,existing paid,domestic appliance,1217,Low,Professional,4,male mar/wid,3,real estate,47,own,1,unskilled resident,1,yes,0
Low,12,critical/other existing credit,furniture/equipment,2246,Low,Expert,3,male single,3,life insurance,60,own,2,skilled,1,yes,0
Low,12,critical/other existing credit,radio/tv,385,Low,Experienced,4,female div/dep/mar,3,real estate,58,own,4,unskilled resident,1,yes,1
Medium,24,delayed previously,new car,1965,No Savings,Professional,4,female div/dep/mar,4,car,42,rent,2,skilled,1,yes,1
No Checking,21,existing paid,business,1572,High,Expert,4,female div/dep/mar,4,real estate,36,own,1,unskilled resident,1,yes,1
Medium,24,existing paid,new car,2718,Low,Professional,3,female div/dep/mar,4,life insurance,20,rent,1,unskilled resident,1,yes,0
Low,24,all paid,other,1358,No Savings,Expert,4,male single,3,car,40,own,1,high qualif/self emp/mgmt,1,yes,0
Medium,6,all paid,new car,931,Medium,Amateur,1,female div/dep/mar,1,life insurance,32,own,1,unskilled resident,1,yes,0
Low,24,existing paid,new car,1442,Low,Experienced,4,female div/dep/mar,4,car,23,rent,2,skilled,1,yes,0
Medium,24,no credits/all paid,business,4241,Low,Professional,1,male single,4,real estate,36,own,3,unskilled resident,1,yes,0
No Checking,18,critical/other existing credit,new car,2775,Low,Experienced,2,male single,2,life insurance,31,own,2,skilled,1,yes,0
No Checking,24,delayed previously,business,3863,Low,Professional,1,male single,2,no known property,32,for free,1,skilled,1,yes,1
Medium,7,existing paid,radio/tv,2329,Low,Amateur,1,female div/dep/mar,1,real estate,45,own,1,skilled,1,yes,1
Medium,9,existing paid,furniture/equipment,918,Low,Professional,4,female div/dep/mar,1,life insurance,30,own,1,skilled,1,yes,0
Medium,24,all paid,education,1837,Low,Experienced,4,female div/dep/mar,4,no known property,34,for free,1,unskilled resident,1,yes,0
No Checking,36,existing paid,furniture/equipment,3349,Low,Professional,4,female div/dep/mar,2,car,28,own,1,high qualif/self emp/mgmt,1,yes,0
High,10,existing paid,furniture/equipment,1275,Low,Amateur,4,female div/dep/mar,2,life insurance,23,own,1,skilled,1,yes,1
Low,24,all paid,furniture/equipment,2828,High,Professional,4,male single,4,real estate,22,own,1,skilled,1,yes,1
No Checking,24,critical/other existing credit,business,4526,Low,Professional,3,male single,2,real estate,74,own,1,high qualif/self emp/mgmt,1,yes,1
Medium,36,existing paid,radio/tv,2671,Medium,Professional,4,female div/dep/mar,4,no known property,50,for free,1,skilled,1,yes,0
No Checking,18,existing paid,radio/tv,2051,Low,Amateur,4,male single,1,real estate,33,own,1,skilled,1,yes,1
No Checking,15,existing paid,used car,1300,No Savings,Expert,4,male single,4,no known property,45,for free,1,skilled,2,yes,1
Low,12,existing paid,domestic appliance,741,Medium,Unemployed,4,female div/dep/mar,3,life insurance,22,own,1,skilled,1,yes,0
High,10,existing paid,new car,1240,Medium,Expert,1,female div/dep/mar,4,no known property,48,for free,1,unskilled resident,2,yes,0
Low,21,existing paid,radio/tv,3357,High,Amateur,4,female div/dep/mar,2,car,29,own,1,skilled,1,yes,1
Low,24,all paid,used car,3632,Low,Professional,1,female div/dep/mar,4,car,22,rent,1,skilled,1,no,1
No Checking,18,delayed previously,furniture/equipment,1808,Low,Experienced,4,female div/dep/mar,1,real estate,22,own,1,skilled,1,yes,0
Medium,48,no credits/all paid,business,12204,No Savings,Professional,2,male single,2,car,48,own,1,high qualif/self emp/mgmt,1,yes,1
Medium,60,delayed previously,radio/tv,9157,No Savings,Professional,2,male single,2,no known property,27,for free,1,high qualif/self emp/mgmt,1,yes,1
Low,6,critical/other existing credit,new car,3676,Low,Professional,1,male single,3,real estate,37,rent,3,skilled,2,yes,1
Medium,30,existing paid,furniture/equipment,3441,Medium,Professional,2,female div/dep/mar,4,car,21,rent,1,skilled,1,yes,0
No Checking,12,existing paid,new car,640,Low,Professional,4,male div/sep,2,real estate,49,own,1,unskilled resident,1,yes,1
Medium,21,critical/other existing credit,business,3652,Low,Experienced,2,male single,3,life insurance,27,own,2,skilled,1,yes,1
No Checking,18,critical/other existing credit,new car,1530,Low,Professional,3,male single,2,life insurance,32,own,2,skilled,1,yes,0
No Checking,48,existing paid,business,3914,No Savings,Professional,4,male div/sep,2,real estate,38,own,1,skilled,1,yes,0
Low,12,existing paid,furniture/equipment,1858,Low,Amateur,4,female div/dep/mar,1,car,22,rent,1,skilled,1,yes,1
Low,18,existing paid,radio/tv,2600,Low,Professional,4,male single,4,no known property,65,for free,2,skilled,1,yes,0
No Checking,15,existing paid,radio/tv,1979,No Savings,Expert,4,male single,2,car,35,own,1,skilled,1,yes,1
High,6,existing paid,furniture/equipment,2116,Low,Professional,2,male single,2,real estate,41,own,1,skilled,1,yes,1
Medium,9,all paid,new car,1437,Medium,Experienced,2,male single,3,no known property,29,own,1,skilled,1,yes,0
No Checking,42,critical/other existing credit,furniture/equipment,4042,High,Professional,4,male single,4,real estate,36,own,2,skilled,1,yes,1
No Checking,9,existing paid,education,3832,No Savings,Expert,1,male single,4,real estate,64,own,1,unskilled resident,1,yes,1
Low,24,existing paid,radio/tv,3660,Low,Professional,2,female div/dep/mar,4,car,28,own,1,skilled,1,yes,1
Low,18,all paid,furniture/equipment,1553,Low,Professional,4,male single,3,car,44,own,1,skilled,1,yes,0
Medium,15,existing paid,radio/tv,1444,No Savings,Amateur,4,male single,1,life insurance,23,own,1,skilled,1,yes,1
No Checking,9,existing paid,furniture/equipment,1980,Low,Amateur,2,female div/dep/mar,2,car,19,rent,2,skilled,1,yes,0
Medium,24,existing paid,new car,1355,Low,Amateur,3,female div/dep/mar,4,car,25,own,1,unskilled resident,1,yes,0
No Checking,12,existing paid,education,1393,Low,Expert,4,male single,4,life insurance,47,own,3,skilled,2,yes,1
No Checking,24,existing paid,radio/tv,1376,High,Experienced,4,female div/dep/mar,1,car,28,own,1,skilled,1,yes,1
No Checking,60,delayed previously,radio/tv,15653,Low,Experienced,2,male single,4,car,21,own,2,skilled,1,yes,1
No Checking,12,existing paid,radio/tv,1493,Low,Amateur,4,female div/dep/mar,3,car,34,own,1,skilled,2,yes,1
Low,42,delayed previously,radio/tv,4370,Low,Experienced,3,male single,2,life insurance,26,own,2,skilled,2,yes,0
Low,18,existing paid,education,750,Low,Unemployed,4,female div/dep/mar,1,real estate,27,own,1,unemp/unskilled non res,1,yes,0
Medium,15,existing paid,repairs,1308,Low,Expert,4,male single,4,car,38,own,2,unskilled resident,1,yes,1
No Checking,15,existing paid,education,4623,Medium,Professional,3,male single,2,life insurance,40,own,1,high qualif/self emp/mgmt,1,yes,0
No Checking,24,critical/other existing credit,radio/tv,1851,Low,Experienced,4,male mar/wid,2,car,33,own,2,skilled,1,yes,1
Low,18,critical/other existing credit,radio/tv,1880,Low,Experienced,4,male mar/wid,1,life insurance,32,own,2,high qualif/self emp/mgmt,1,yes,1
No Checking,36,delayed previously,business,7980,No Savings,Amateur,4,male single,4,car,27,rent,2,skilled,1,yes,0
Low,30,no credits/all paid,furniture/equipment,4583,Low,Professional,2,male div/sep,2,real estate,32,own,2,skilled,1,yes,1
No Checking,12,existing paid,new car,1386,High,Professional,2,female div/dep/mar,2,life insurance,26,own,1,skilled,1,yes,0
High,24,existing paid,new car,947,Low,Experienced,4,male single,3,no known property,38,for free,1,skilled,2,yes,0
Low,12,existing paid,education,684,Low,Professional,4,male single,4,car,40,rent,1,unskilled resident,2,yes,0
Low,48,existing paid,education,7476,Low,Experienced,4,male single,1,no known property,50,for free,1,high qualif/self emp/mgmt,1,yes,1
Medium,12,existing paid,furniture/equipment,1922,Low,Professional,4,male single,2,life insurance,37,own,1,unskilled resident,1,yes,0
Low,24,existing paid,new car,2303,Low,Expert,4,male single,1,real estate,45,own,1,skilled,1,yes,0
Medium,36,delayed previously,new car,8086,Medium,Expert,2,male single,4,car,42,own,4,high qualif/self emp/mgmt,1,yes,0
No Checking,24,critical/other existing credit,used car,2346,Low,Experienced,4,male single,3,car,35,own,2,skilled,1,yes,1
Low,14,existing paid,new car,3973,Low,Unemployed,1,male single,4,no known property,22,for free,1,skilled,1,yes,1
Medium,12,existing paid,new car,888,Low,Expert,4,male single,4,car,41,own,1,unskilled resident,2,yes,0
No Checking,48,existing paid,radio/tv,10222,No Savings,Experienced,4,male single,3,car,37,own,1,skilled,1,yes,1
Medium,30,no credits/all paid,business,4221,Low,Professional,2,female div/dep/mar,1,car,28,own,2,skilled,1,yes,1
Medium,18,critical/other existing credit,furniture/equipment,6361,Low,Expert,2,male single,1,no known property,41,own,1,skilled,1,yes,1
High,12,existing paid,radio/tv,1297,Low,Professional,3,male mar/wid,4,real estate,23,rent,1,skilled,1,yes,1
Low,12,existing paid,new car,900,No Savings,Professional,4,male mar/wid,2,car,23,own,1,skilled,1,yes,0
No Checking,21,existing paid,furniture/equipment,2241,Low,Expert,4,male single,2,real estate,50,own,2,skilled,1,yes,1
Medium,6,delayed previously,furniture/equipment,1050,Low,Unemployed,4,male single,1,life insurance,35,own,2,high qualif/self emp/mgmt,1,yes,1
High,6,critical/other existing credit,education,1047,Low,Professional,2,female div/dep/mar,4,life insurance,50,own,1,unskilled resident,1,yes,1
No Checking,24,critical/other existing credit,other,6314,Low,Unemployed,4,male single,2,no known property,27,own,2,high qualif/self emp/mgmt,1,yes,1
Medium,30,all paid,furniture/equipment,3496,High,Professional,4,male single,2,car,34,own,1,skilled,2,yes,1
No Checking,48,all paid,business,3609,Low,Professional,1,female div/dep/mar,1,real estate,27,own,1,skilled,1,yes,1
Low,12,critical/other existing credit,new car,4843,Low,Expert,3,male single,4,life insurance,43,rent,2,skilled,1,yes,0
High,30,critical/other existing credit,radio/tv,3017,Low,Expert,4,male single,4,life insurance,47,own,1,skilled,1,yes,1
No Checking,24,critical/other existing credit,business,4139,Medium,Professional,3,male single,3,life insurance,27,own,2,unskilled resident,1,yes,1
No Checking,36,existing paid,business,5742,Medium,Experienced,2,male single,2,car,31,own,2,skilled,1,yes,1
No Checking,60,existing paid,new car,10366,Low,Expert,2,male single,4,life insurance,42,own,1,high qualif/self emp/mgmt,1,yes,1
No Checking,6,critical/other existing credit,new car,2080,High,Professional,1,male mar/wid,2,car,24,own,1,skilled,1,yes,1
No Checking,21,delayed previously,business,2580,High,Amateur,4,male single,2,real estate,41,own,1,unskilled resident,2,yes,0
No Checking,30,critical/other existing credit,radio/tv,4530,Low,Experienced,4,female div/dep/mar,4,car,26,rent,1,high qualif/self emp/mgmt,1,yes,1
No Checking,24,critical/other existing credit,furniture/equipment,5150,Low,Expert,4,male single,4,car,33,own,1,skilled,1,yes,1
Medium,72,existing paid,radio/tv,5595,Medium,Professional,2,male mar/wid,2,car,24,own,1,skilled,1,yes,0
Low,24,existing paid,radio/tv,2384,Low,Expert,4,male single,4,real estate,64,rent,1,unskilled resident,1,yes,1
No Checking,18,existing paid,radio/tv,1453,Low,Amateur,3,female div/dep/mar,1,real estate,26,own,1,skilled,1,yes,1
No Checking,6,existing paid,education,1538,Low,Amateur,1,female div/dep/mar,2,no known property,56,own,1,skilled,1,yes,1
No Checking,12,existing paid,radio/tv,2279,No Savings,Professional,4,male single,4,no known property,37,for free,1,skilled,1,yes,1
No Checking,15,delayed previously,radio/tv,1478,Low,Professional,4,male mar/wid,3,real estate,33,own,2,skilled,1,yes,1
No Checking,24,critical/other existing credit,radio/tv,5103,Low,Amateur,3,male mar/wid,3,no known property,47,for free,3,skilled,1,yes,1
Medium,36,delayed previously,business,9857,Medium,Experienced,1,male single,3,life insurance,31,own,2,unskilled resident,2,yes,1
No Checking,60,existing paid,new car,6527,No Savings,Professional,4,male single,4,no known property,34,for free,1,skilled,2,yes,1
High,10,critical/other existing credit,radio/tv,1347,No Savings,Experienced,4,male single,2,life insurance,27,own,2,skilled,1,yes,1
Medium,36,delayed previously,new car,2862,Medium,Expert,4,male single,3,no known property,30,for free,1,skilled,1,yes,1
No Checking,9,existing paid,radio/tv,2753,Medium,Expert,3,male single,4,car,35,own,1,skilled,1,yes,1
Low,12,existing paid,new car,3651,High,Professional,1,male single,3,life insurance,31,own,1,skilled,2,yes,1
Low,15,critical/other existing credit,furniture/equipment,975,Low,Professional,2,male div/sep,3,life insurance,25,own,2,skilled,1,yes,1
Medium,15,existing paid,repairs,2631,Medium,Professional,3,female div/dep/mar,2,real estate,25,own,1,unskilled resident,1,yes,1
